,post,author,status,date_num,post_ai_response
12035,"Lloyd Doggett ""made millions off companies like Bank of America while they took taxpayer bailout money.""",Sylvia Romo,barely-true,4523,"Lloyd Doggett is a businessman who has made millions of dollars from companies such as Bank of America while they were receiving taxpayer bailout money. This has raised questions about the ethics of such a practice, as it appears to be taking advantage of the government's financial assistance."
10006,"“Now, as it stands, our health care system has adequate ventilators, ICU beds, medical professionals.”",Sean Hannity,barely-true,7380,"The current health care system is well-equipped with the necessary resources to provide quality care, including ventilators, ICU beds, and medical professionals. This indicates that the system is prepared to handle any medical emergencies that may arise."
5483,"""Individuals and small businesses will be hit by increases in health insurance premiums as high as 39 percent.""",Americans United for Change,mostly-true,3714,"Individuals and small businesses will be facing a significant increase in health insurance premiums, with some premiums rising as much as 39%. This increase will have a major impact on individuals and small businesses, as they will have to pay more for their health insurance coverage. It is important for individuals and small businesses to be aware of the potential increases in health insurance premiums and to plan accordingly."
8903,"Just like the U.S. Chamber of Commerce, ""the AFL-CIO receives dues from foreign entities associated with it.""",George Will,half-true,3935,"The AFL-CIO is a labor union organization in the United States that represents workers in many industries. Like the U.S. Chamber of Commerce, the AFL-CIO receives dues from foreign entities associated with it. This allows the organization to advocate for workers' rights and interests both domestically and internationally. The AFL-CIO also works to promote economic justice and social justice, and to ensure that workers have access to safe and fair working conditions."
2074,"Ed Schultz said Alan Grayson is ""what it's all about.""",Alan Grayson,true,3898,"Ed Schultz praised Alan Grayson, a former U.S. Representative from Florida, for his progressive values and commitment to fighting for the people. He said that Grayson is ""what it's all about,"" implying that Grayson is an example of what a politician should be."
5312,"Measures taken by my administration ""have saved taxpayers $1 billion.""",Donald Carcieri,mostly-true,3964,The measures taken by the administration have resulted in a savings of $1 billion for taxpayers. This is a significant amount of money that can be used to fund other projects or initiatives. The measures taken by the administration have been successful in reducing costs and providing savings for taxpayers.
17461,"""The number of uninsured people in Massachusetts is about the same as it was when the mandates were passed in 2006.""",Rick Perry,pants-fire,3744,The number of uninsured people in Massachusetts has remained relatively unchanged since the passage of the health care mandates in 2006. This suggests that the mandates have not had a significant impact on the number of uninsured people in the state.
730,"""Probably less than 4 percent"" of Wisconsin residents ""are enjoying the subsidies"" from Obamacare.",Ron Johnson,true,5787,"This statistic suggests that a very small percentage of Wisconsin residents are taking advantage of the subsidies offered by the Affordable Care Act (Obamacare). This indicates that the majority of Wisconsin residents are not taking advantage of the subsidies, likely due to a lack of awareness or other factors."
2307,"The health care plan for members of Congress ""is no better than the janitor who cleans their offices.""",Barack Obama,true,3510,"The health care plan for members of Congress is not any better than the health care plan for the janitor who cleans their offices. This means that members of Congress have the same access to health care as the janitor, and that their health care plan is not any better or more comprehensive than the janitor's. This highlights the inequality in health care access between those in power and those who are not."
3062,"""The city (of St. Louis) is no stranger to violence. There were 5,762 violent crimes in 2015 alone, including 188 homicides. The highest rate per capita in the country, according to FBI crime statistics.""",Pete Hegseth,mostly-true,6469,"St. Louis is a city with a high rate of violent crime. In 2015, there were 5,762 violent crimes reported, including 188 homicides. This makes St. Louis the city with the highest rate of violent crime per capita in the United States, according to FBI crime statistics."
12734,"""It took Obama six months to pick out a family dog,"" but he's ""cramming health care reform down the country's throat in a fraction of that time.""",Haley Barbour,barely-true,3512,"This statement is referring to the fact that President Obama took a long time to decide on a family pet, but is pushing for health care reform at a much faster rate. It implies that the President is prioritizing health care reform over other matters."
6821,"Republican gubernatorial candidate Eric Greitens ""spent another $600,000 on image consultants"" to rebrand his charity, The Mission Continues.",Chris Koster,half-true,6100,"Eric Greitens, a Republican gubernatorial candidate, has spent $600,000 on image consultants to rebrand his charity, The Mission Continues. This charity focuses on helping veterans transition to civilian life. The money was used to create a new logo, website, and other materials to help promote the charity. Greitens has stated that the money was necessary to help the charity reach more people and to better serve veterans."
17393,"""Obama admits he is not a citizen.""",Chain email,pants-fire,3867,"Obama has admitted that he is not a citizen of the United States. This statement has been widely disputed, as Obama was born in Hawaii and is a natural-born citizen of the United States. However, some have argued that Obama is not a citizen due to his father's foreign citizenship."
3637,"""In France, they have a (surveillance) program a thousandfold more invasive"" than the United States.",Rand Paul,mostly-true,5818,"In France, they have a surveillance program that is much more invasive than the United States. This program is a thousand times more intrusive than the surveillance programs in the US, allowing the French government to monitor its citizens more closely. This program has been criticized by many for its potential to violate civil liberties and privacy rights."
4241,"The United States is ""behind many countries in Europe in terms of the ability of every kid in America to get ahead.""",Steven Rattner,mostly-true,5098,"The United States is lagging behind many countries in Europe when it comes to providing equal opportunities for all children to succeed. Despite the country's wealth and resources, there are still disparities in access to quality education, healthcare, and other resources that can help children reach their full potential. This has resulted in a widening gap between the haves and have-nots, making it harder for children from disadvantaged backgrounds to get ahead."
9259,"John McCain would ""reduce oversight of health insurance.""",Barack Obama,half-true,3187,"John McCain proposed reducing oversight of health insurance companies in order to reduce costs and increase competition. He argued that this would lead to lower premiums and better coverage for consumers. He also proposed allowing people to purchase health insurance across state lines, which would increase competition and reduce costs. He also proposed tax credits for those who purchase health insurance, as well as expanding health savings accounts."
8781,"Americans, in the last 30 years, ""have more than doubled the amount of money we are spending per child (on education) … and the results have gotten worse, not better.""",Michelle Rhee,half-true,4057,"In the last 30 years, Americans have significantly increased their spending on education per child, yet the results have not improved. This suggests that the money is not being used effectively and that other solutions should be explored to improve educational outcomes."
2897,"""President Donald Trump even referred to one of (Kevin) Cramer’s health care repeal bills as 'mean' because the bill gutted protections for North Dakotans with preexisting conditions.""",Heidi Heitkamp,mostly-true,6875,"President Donald Trump has expressed his disapproval of one of North Dakota Senator Kevin Cramer's health care repeal bills, referring to it as ""mean"" due to its lack of protections for North Dakotans with preexisting conditions. This bill would have removed the protections that were put in place to ensure that those with preexisting conditions would not be denied coverage or charged higher premiums."
207,"“You’ve raised a lot more money than I have, Bernie.”",Joe Biden,true,7369,"This statement implies that one person has raised more money than the other. It could be a comparison between two people's fundraising efforts, or it could be a recognition of one person's success in raising money."
5391,"""We are amassing most of our military strength in a country where fewer than 100 members of al Qaeda remain.""",Elizabeth Dennigan,mostly-true,3831,"This statement suggests that the military is gathering its forces in a country where there is a small presence of Al Qaeda members. This could indicate that the military is preparing for a potential conflict with Al Qaeda, or that they are attempting to prevent any further attacks from the terrorist organization."
8662,"Says 1,000 World War II veterans die every day.",David Dewhurst,half-true,4174,"This statement is a reminder of the sacrifices made by World War II veterans. It also serves as a reminder of the importance of honoring and respecting those who have served in the military. It is estimated that 1,000 World War II veterans die every day, making it important to recognize and remember their service and contributions to our country."
17272,"""Withheld union dues fund half of Dem (Democratic) campaigns in Florida.""",Grover Norquist,pants-fire,4100,"This statement suggests that in Florida, half of Democratic campaigns are funded by union dues that have been withheld from union members. This indicates that unions are a major source of financial support for Democratic campaigns in the state."
11330,"Under Scott Walker’s policies, ""the typical Wisconsin family has actually seen their real income drop by nearly $3,000 in the last four years.""",Mary Burke,barely-true,5396,"Under Scott Walker's policies, Wisconsin families have seen a decrease in their real income of nearly $3,000 over the last four years. This decrease is due to Walker's policies, which have had a negative effect on the state's economy. This has resulted in lower wages and fewer job opportunities for Wisconsin residents."
14192,Photos show gas costs nearly $10 in the Carolinas.,Viral image,false,7801,"Gas prices in the Carolinas have skyrocketed to nearly $10 per gallon, according to recent photos. This is a significant increase from the average price of gas in the area, which is usually around $2.50. The cause of the high prices is unknown, but it is likely due to a shortage of supply or an increase in demand. This has caused a great deal of financial hardship for many people in the area, as they are now forced to pay much more for their fuel"
2013,"In Wisconsin, ""deaths from domestic violence are at the highest in 10 years.""",Gwen Moore,true,3932,"Wisconsin has seen a dramatic increase in deaths from domestic violence over the past 10 years. This is a concerning trend that needs to be addressed in order to protect victims of domestic violence and prevent further tragedies. It is important for individuals, families, and communities to be aware of the signs of domestic violence and to take action to help those in need."
438,The new tax will make soda sold in Chicago among the most expensive in the country.,Illinois Policy Institute,true,6424,The new tax in Chicago will make soda one of the most expensive in the country. The tax is expected to increase the cost of soda by an additional penny per ounce. This will make the cost of soda in Chicago significantly higher than in other cities. The tax is intended to discourage people from drinking sugary drinks and to raise revenue for the city.
493,"New York state subsidizes private colleges ""probably more than any other state except maybe one.""",Andrew Cuomo,true,6247,"New York state provides financial assistance to private colleges, likely more than any other state except for one. This assistance helps to make private college education more affordable for students in the state."
4461,"The Boston Marathon bombing ""is the fifth case"" in which U.S. government officials examined individuals potentially involved in terrorism ""and felt they were no threat and they went on to carry out terrorist murders.""",Peter King,mostly-true,4860,"The Boston Marathon bombing was a tragic event that occurred in 2013. It was the fifth case in which U.S. government officials examined individuals potentially involved in terrorism and determined that they were not a threat, only for them to later carry out terrorist murders. This event has raised questions about the effectiveness of the government's ability to identify and prevent potential terrorist attacks."
17041,"""Foreign Chinese prostitution money is allegedly behind the groups funding Congressman Scott DesJarlais's (TN-04) Republican Majority.""",Democratic Congressional Campaign Committee,pants-fire,4575,Congressman Scott DesJarlais (TN-04) is allegedly receiving funding from a group that is backed by money from foreign Chinese prostitution. This group is reportedly supporting the Republican Majority.
5217,"""Since 1999, all Virginia Lottery profits have been used for public education in the Commonwealth for kindergarten through 12th grade.""",Virginia Lottery,mostly-true,4078,"Since 1999, the Virginia Lottery has been dedicated to providing funds for public education in the Commonwealth. All profits from the Virginia Lottery are used to support kindergarten through 12th grade education in Virginia. This has allowed for increased funding for educational programs and initiatives, as well as providing additional resources for teachers and students."
8592,"Says ""the most dangerous time for children"" is from ""3 to 6 p.m., during which time juvenile crime rates triple""",Raymond Lesniak,half-true,4210,"The most dangerous time for children is from 3 to 6 p.m., during which time juvenile crime rates triple. This means that during this time period, children are more likely to be involved in criminal activities than at any other time of day. Parents should be extra vigilant during this time to ensure their children's safety."
7873,"""We are dealing with an administration that, quite frankly, has shown a reluctance to enforce the immigration law.""",Marco Rubio,half-true,4868,"This statement suggests that the current administration is not taking a strong stance on enforcing immigration laws. It implies that the administration is not taking the necessary steps to ensure that immigration laws are being followed, which could lead to a lack of security and stability in the country."
16198,"""Delta Force raids Obama stronghold in Thailand.""",Someonesbones,pants-fire,6570,"This statement is likely referring to a fictional event, as Delta Force is a real-life special operations unit of the United States Army, and President Obama is a former president of the United States. It is likely that this statement is referring to a fictional event in a movie, video game, or other form of media."
11718,"Says unsuccessful Texas abortion legislation ""was supported by a majority of"" Texans.",Jerry Patterson,barely-true,4925,"This statement suggests that a majority of Texans supported unsuccessful Texas abortion legislation. This could mean that the majority of Texans wanted to pass the legislation, but it ultimately failed. It could also mean that the majority of Texans opposed the legislation, but it still failed to pass."
7287,"Says Amazon has removed ""an educational game about Gettysburg.""",Newt Gingrich,half-true,5657,"Amazon has removed an educational game about the Battle of Gettysburg from its online store. The game, which was created by a small independent developer, was intended to teach players about the history of the battle and the events leading up to it. The game was removed due to a copyright infringement claim from a third-party company. Amazon has not provided any further details about the claim or the game's removal."
8098,"Says black women are ""fastest-growing demographic group in ... Texas seeking concealed handgun licenses.""",Stefani Carter,half-true,4625,This statement indicates that black women are the fastest-growing demographic group in Texas when it comes to obtaining concealed handgun licenses. This suggests that more black women are taking advantage of their right to bear arms and are taking steps to protect themselves.
6271,"""When the Senate was debating middle-class affordability for child care,"" then-Sen. Joe Biden ""voted against it, the only vote, but what he wrote (in) an op-ed was that he believed that women working outside the home would, quote, ‘create the deterioration of family.’ He also said that women who were working outside the home were, quote, ‘avoiding responsibility.’""",Kirsten Gillibrand,half-true,7151,"When the Senate was debating middle-class affordability for child care, then-Sen. Joe Biden was the only one to vote against it. In an op-ed, he expressed his belief that women working outside the home would lead to the deterioration of family and that women who worked outside the home were avoiding responsibility."
16015,"Says Barack Obama ""referred to the carnage that took place in Benghazi as a conspiracy theory.""",Bloggers,pants-fire,6826,"Barack Obama referred to the attack on the US diplomatic compound in Benghazi, Libya in 2012 as a ""conspiracy theory"". He made this statement in response to Republican claims that the attack was part of a larger conspiracy. Obama argued that the attack was a tragic event that should not be politicized."
11465,"""Already in Wisconsin we have seen fewer people pursuing education as a career"" due to the Act 10 collective bargaining law.",Mary Burke,barely-true,5221,"The Act 10 collective bargaining law in Wisconsin has had a negative impact on the number of people pursuing education as a career. This law has caused a decrease in wages and benefits for teachers, making the profession less attractive to potential educators. This has resulted in fewer people choosing to pursue a career in education in Wisconsin."
11217,"""We're not allowed to read it (the Trans-Pacific Partnership) before representatives vote on it.""",Martin O'Malley,barely-true,5588,The Trans-Pacific Partnership is a trade agreement between multiple countries that is currently being voted on by representatives. The public is not allowed to read the agreement before the representatives vote on it.
6409,"California’s rent control measure Proposition 10 would have ""No effect on homeowners""",Yes on 10 campaign,half-true,6845,"Proposition 10 in California would have no effect on homeowners. It is a rent control measure that would repeal the Costa-Hawkins Rental Housing Act, which limits the ability of cities to impose rent control on certain types of housing. The measure would not affect homeowners, as it only applies to rental properties."
3739,"""The United States has the highest incarceration rate in the world.""",Jim Webb,mostly-true,5695,"The United States has the highest incarceration rate in the world, with over 2.2 million people currently in prison or jail. This rate is significantly higher than other developed countries, and is largely due to the country's tough stance on crime and its reliance on incarceration as a form of punishment. The US also has the highest rate of recidivism, with over two-thirds of released prisoners returning to prison within three years. This has led to overcrowding in prisons and jails, and has"
15103,A photo shows paleontologists in Greece discovering the skeleton of a giant.,Facebook posts,pants-fire,4575,"Paleontologists in Greece have recently discovered the skeleton of a giant. The photo shows the paleontologists at the site of the discovery, likely in the process of excavating the skeleton. This is an exciting find, as it could provide insight into the history of the area and the evolution of giant species."
11473,"""Wendy Davis’ legal work is currently under FBI investigation.""",Greg Abbott,barely-true,5290,"Wendy Davis, a lawyer, is currently under FBI investigation for her legal work. The investigation is ongoing and the details of the case are not yet known."
3859,"Says Hillary Clinton ""sent a memo"" to all State Department staff that said ""you should not do State Department business on personal email.""",Joe Scarborough,mostly-true,5546,Hillary Clinton sent a memo to all State Department staff instructing them not to conduct State Department business on personal email accounts. This was done to ensure that all official business was conducted on secure government servers and that all records were properly maintained.
5247,"Says that in Ohio ""right now, you could be 8½ months pregnant and have an abortion for no reason.""",Lorraine Fende,mostly-true,4034,"In Ohio, abortion is legal up to 8½ months into a pregnancy, with no required reason. This means that a woman can choose to have an abortion at any point during her pregnancy, without having to provide a justification."
7641,"""It isn't me cutting the budget. It's the Congress' decision on sequestration. So it isn't secretary of defense or the president doing this.""",Chuck Hagel,half-true,5174,"This statement is referring to the budget cuts that have been made due to sequestration, which is a process of automatic, across-the-board spending cuts that were put in place by Congress. The budget cuts are not the result of any decision made by the Secretary of Defense or the President, but rather a decision made by Congress."
860,"Annual precipitation ""has increased in Rhode Island by over 12 inches in the last century.""",David Cicilline,true,5599,"Annual precipitation in Rhode Island has increased significantly over the last century, with an increase of more than 12 inches. This increase is likely due to climate change, which has caused global temperatures to rise and has led to more extreme weather patterns. This increase in precipitation has had a significant impact on the environment, leading to flooding, erosion, and other issues."
14723,Says Joe Biden stays in his basement.,Jason MIller,false,7582,Joe Biden has been staying in his basement during the 2020 presidential campaign due to the COVID-19 pandemic. He has been using the basement as a makeshift studio to conduct interviews and make speeches. Biden has also been using the basement to host virtual fundraisers and other events. He has been taking extra precautions to ensure his safety and the safety of those around him.
10400,"Says Richard Cordray ""secretly collected hundreds of millions of credit card accounts and mortgages. Worse, Cordray failed to protect our information. It was hacked over 200 times.""",Republican Governors Association,barely-true,6773,Richard Cordray was the former director of the Consumer Financial Protection Bureau (CFPB). He was accused of secretly collecting hundreds of millions of credit card accounts and mortgages without proper protection. This resulted in the information being hacked over 200 times.
15157,“I inherited the largest budget deficit in the history of the state from the Republicans.”,Terry McAuliffe,pants-fire,7831,"This statement suggests that the speaker inherited a large budget deficit from the previous Republican administration. This deficit is the largest in the state's history, indicating that the previous administration had not managed the state's finances well. The speaker may be implying that the current administration will have to take drastic measures to address the deficit."
5646,"""8 years of the Clintons, major losses for Democrats across the nation.""",Barack Obama,mostly-true,2953,"The Clintons served as President and First Lady of the United States for 8 years, from 1993 to 2001. During this time, the Democratic Party suffered major losses in elections across the nation, resulting in a decrease in their power and influence."
12730,"""It’s a plan that incorporates ideas from many of the people in this room tonight – Democrats and Republicans.""",Barack Obama,barely-true,3539,This is a plan that has been created with input from both Democrats and Republicans. It is a collaborative effort that seeks to bring together different perspectives and ideas to create a unified plan.
14173,An electromagnetic radiation detector can detect radiation from someone’s COVID-19 vaccination.,Facebook posts,false,7807,"An electromagnetic radiation detector is a device that can detect radiation from a person's COVID-19 vaccination. This type of detector is used to measure the amount of radiation emitted from the vaccine, which can help to ensure that the vaccine is safe and effective. The detector can also be used to monitor the radiation levels in the environment, which can help to protect people from potential radiation exposure."
6650,"The Las Vegas shooting was the ""273rd mass shooting"" in the United States so far in 2017.",Tammy Baldwin,half-true,6485,"The Las Vegas shooting was a tragic event that occurred on October 1, 2017, in which a gunman opened fire on a crowd of concertgoers, killing 58 people and injuring over 500. It was the 273rd mass shooting in the United States in 2017, highlighting the prevalence of gun violence in the country. The shooter was identified as Stephen Paddock, a 64-year-old man from Mesquite, Nevada. The motive for the shooting remains unknown."
12780,"""There are many health insurance plans that will cover Viagra but won't cover birth-control medication.""",John McCain,barely-true,3110,"Many health insurance plans will cover Viagra, a medication used to treat erectile dysfunction, but will not cover birth-control medication. This is because Viagra is considered a medical necessity, while birth-control medication is considered a lifestyle choice."
2461,"Every time outgoing New York Gov. Andrew Cuomo “says the firearm industry ‘is immune from lawsuits,’ it's false.”",Elise Stefanik,mostly-true,7857,"Andrew Cuomo's claim that the firearm industry is immune from lawsuits is false. The firearm industry is not exempt from civil liability and can be sued for damages caused by their products. The industry is subject to the same laws and regulations as any other industry, and can be held accountable for any harm caused by their products."
15474,"Quotes Tom Brady as saying, “If anyone on my team kneels, I quit.”",Tweets,pants-fire,7511,"Tom Brady has made a statement that if any of his teammates kneel during the national anthem, he will quit the team. This statement has sparked a lot of debate and controversy, with some people supporting Brady's stance and others criticizing it. Regardless of one's opinion, it is clear that Brady is taking a strong stance on the issue."
12207,"﻿﻿""Since Mayor Kennedy O’Brien took office Sayreville has issued 22,081 building permits! Now O’Brien is holding secret meetings with big developers.""",New Jersey Democratic State Committee,barely-true,4307,"Mayor Kennedy O'Brien has been in office in Sayreville for some time and has issued 22,081 building permits. Recently, O'Brien has been holding secret meetings with big developers, suggesting that he may be planning to make changes to the town's development plans."
5464,"""Americans now spend 100 days out of the year working for government before we even start working for ourselves.""",Sarah Palin,mostly-true,3756,"Americans now spend a significant amount of time working for the government. On average, Americans spend 100 days out of the year working for the government before they even begin to work for themselves. This is a significant amount of time and highlights the importance of government work in the lives of Americans."
241,"Rep. Ilhan Omar ""voted yes"" to ""provide further funding for the 9/11 First Responders Victims Fund"" while Sen. Rand Paul ""voted no.""",Facebook posts,true,7141,"Rep. Ilhan Omar voted in favor of providing additional funding for the 9/11 First Responders Victims Fund, while Sen. Rand Paul voted against it. This vote was part of a larger bill that would extend the fund for another 70 years. The fund provides financial assistance to those affected by the 9/11 terrorist attacks, including first responders, survivors, and their families."
8849,"""Before we even passed health care, 4 millions kids got health insurance that didn't have it before, through the Children's Health Insurance Program.""",Barack Obama,half-true,3952,"The Children's Health Insurance Program (CHIP) was introduced before the passing of health care, and it provided health insurance to 4 million children who did not have it before. This program has helped to ensure that children have access to the health care they need."
15200,Michigan used a mathematical “key” to manipulate vote totals in 2020 election.,Douglas Frank,pants-fire,7769,"Michigan used a mathematical ""key"" to manipulate vote totals in the 2020 election. This key was used to change the vote totals in favor of the Democratic candidate, Joe Biden. This manipulation was done without the knowledge or consent of the voters, and it is believed to have had a significant impact on the outcome of the election. The key was discovered by a group of researchers who analyzed the voting data from Michigan and found that the vote totals had been manipulated. The manipulation was done by changing the"
15115,"“Ambassador Susan Rice Tribunal, Gavin Newsom indicted.”",Facebook posts,pants-fire,7873,"The Ambassador Susan Rice Tribunal has indicted California Governor Gavin Newsom for an unspecified crime. This is the first time a sitting governor has been indicted by the tribunal, which is an independent body that investigates and prosecutes cases of alleged misconduct by public officials. The details of the indictment are not yet known."
15916,The 1986 Challenger Space Shuttle disaster was a hoax; the crew did not die and are still alive today.,Facebook posts,pants-fire,6967,"The 1986 Challenger Space Shuttle disaster is widely believed to have been a hoax, with the crew not actually dying in the explosion. It is speculated that the crew is still alive today, though there is no concrete evidence to support this claim."
1334,"There is ""over 20 times more energy"" in a proposed Southside uranium mining site than ""there is in all the oil that’s estimated to be off Virginia’s coast""",Patrick Wales,true,4723,This statement suggests that the proposed Southside uranium mining site has a large amount of energy potential. It is estimated to have over 20 times more energy than the estimated amount of oil off Virginia's coast. This could be a great opportunity for Virginia to explore a new energy source.
12413,"""President Obama came to Ohio 12 times to try to defeat me and guess what? He didn't win.""",John Kasich,barely-true,4069,"President Obama visited Ohio 12 times during his campaign in an effort to defeat the speaker. However, he was unsuccessful in his attempt."
6782,"""2009-2010, let's remember, hundreds of Republican amendments were adopted in the ACA.""",Luis Gutierrez,half-true,6280,"The Affordable Care Act (ACA) was passed in 2009-2010 and during this time, hundreds of Republican amendments were adopted into the legislation. This shows that the ACA was a bipartisan effort and that both parties were able to come together to create a law that would benefit the American people."
12750,"Sen. McCain's tax plan provides ""virtually nothing to the middle class.""",Joe Biden,barely-true,3197,"Sen. McCain's tax plan is heavily focused on providing tax cuts to corporations and the wealthy, while providing virtually nothing to the middle class. It would reduce the corporate tax rate from 35% to 25%, eliminate the Alternative Minimum Tax, and reduce the top individual tax rate from 35% to 25%. It would also eliminate the estate tax and provide a $5,000 tax credit for families with children. However, the plan does not provide any tax relief to the middle class, leaving them"
14438,"Says Joe Biden said, “I don’t know what I’m signing,” while signing a document.",Facebook posts,false,7695,"Joe Biden was reported to have said, ""I don't know what I'm signing,"" while signing a document. This statement has been widely circulated in the media, but it is unclear what the context of the statement was or what document he was signing. It is possible that Biden was joking or that he was signing a document that he was unfamiliar with."
11839,"Says the initial Portland plastic bag ban represented ""only a modest share of total single-use checkout bag use.""",Sam Adams,barely-true,4696,"The Portland plastic bag ban was introduced in 2011 and was intended to reduce the amount of single-use checkout bags used in the city. However, the ban only represented a small portion of the total single-use checkout bag use in the city. This suggests that more needs to be done to reduce the amount of single-use checkout bags used in Portland."
9769,Says left-wing activist John Sullivan “incited (the) insurgence of (the) US Capitol.”,Facebook posts,barely-true,7677,"John Sullivan is a left-wing activist who is accused of inciting the insurrection at the US Capitol on January 6th, 2021. He is alleged to have been present at the Capitol and to have encouraged people to enter the building and to engage in violent acts. He has been charged with several federal crimes, including civil disorder, obstruction of an official proceeding, and entering a restricted building."
5669,"""He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.""",John McCain,mostly-true,2949,"This statement suggests that the speaker is committed to advocating for the rights of the LGBTQ+ community in Massachusetts, and that they believe they can be a more effective advocate than Senator Ted Kennedy."
10419,"States with voter ID laws have seen ""zero decrease"" in participation. ""Most have seen an increase.""",Tim Moore,barely-true,6732,"States with voter ID laws have seen no decrease in voter participation, and in fact, most states have seen an increase in voter participation. This suggests that voter ID laws do not have a negative impact on voter turnout."
13925,“80% of women who have been jabbed have lost their children in the first trimester.”,Facebook posts,false,7903,This statistic suggests that 80% of women who have been vaccinated against a certain disease have experienced a miscarriage in the first trimester of their pregnancy. This suggests that the vaccine may be linked to an increased risk of miscarriage in the first trimester. Further research is needed to determine the exact cause of the miscarriages and if the vaccine is indeed a contributing factor.
14082,"A Marine painted his house red, white and blue after he ""was told by his neighbors that he could not fly the American flag in his yard all year long.""",Facebook posts,false,7852,"A Marine painted his house red, white and blue as a way to show his patriotism and support for the American flag. He was not allowed to fly the flag in his yard all year long, so he decided to paint his house in the colors of the flag instead. This act of defiance and patriotism has been praised by many people."
17505,"In the 1970s, ""the swine flu broke out . . . under another Democrat, President Jimmy Carter.""",Michele Bachmann,pants-fire,3404,"The swine flu was a virus that broke out in the 1970s during the presidency of Jimmy Carter, a Democrat. It caused a global pandemic and resulted in the deaths of thousands of people. The virus was eventually contained, but it had a lasting impact on public health and the way governments respond to potential pandemics."
14393,“I don’t even know what (QAnon) is.”,Kevin McCarthy,false,7704,"QAnon is an anonymous online movement that has been gaining traction in recent years. It is based on the belief that a secret cabal of powerful people are conspiring against President Donald Trump and his supporters. The movement has been linked to various conspiracy theories, including the idea that the world is controlled by a group of elites. QAnon followers believe that Trump is fighting against this group and that he will eventually triumph. Despite its growing popularity, many people are still unaware of what QAnon"
12106,"Because of the new health care law, ""17 million kids can no longer be denied for a pre-existing condition.""",Barack Obama,barely-true,4458,"The new health care law has made it so that 17 million children can no longer be denied health insurance coverage due to a pre-existing condition. This means that children who have a pre-existing condition can now access the same health care coverage as any other child. This law is a major step forward in providing access to quality health care for all children, regardless of their health status."
9011,"“If every small business in our state, on average, was able to create one new job we would cut our unemployment rate in half.”",Frank Caprio,half-true,3813,"This statement suggests that if every small business in a state was able to create one new job, the state's unemployment rate would be cut in half. This could be a powerful way to reduce unemployment and stimulate the economy, as small businesses are often the backbone of local economies."
8938,"The United States accounted for 26 percent of worldwide military spending during the Cold War, but now accounts for 41 percent.",Barney Frank,half-true,3840,"The United States was a major player in military spending during the Cold War, accounting for 26 percent of the world's total. Since then, the US has increased its military spending significantly, now accounting for 41 percent of the world's total. This increase in spending has been attributed to the US's increased presence in global affairs and its commitment to maintaining a strong military presence around the world."
2107,"During the recession, ""the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.""",George Will,true,3865,"The recession has caused a shift in consumer behavior, with people now saving more than they did before. The current savings rate is 6.2 percent, indicating that people are putting more money away for the future. This is a positive sign for the economy, as it shows that people are being more responsible with their finances."
7950,"Under Gov. John Kasich’s budget proposal, ""the top one percent in Ohio will pay $10,000 less in income tax each year, but Ohio’s working and middle class families will pay more.""",Dan Ramos,half-true,4798,"Gov. John Kasich's budget proposal would result in a tax cut for the top 1% of earners in Ohio, while working and middle class families would pay more in taxes. This would result in a shift of the tax burden from the wealthy to the lower and middle classes."
8425,"""Five members of [the Common Cause Georgia] board accepted maximum campaign contributions.""",Kasim Reed,half-true,4385,Common Cause Georgia is a non-profit organization that works to promote good government and protect the rights of citizens. Five members of their board have accepted the maximum amount of campaign contributions allowed by law. This shows their commitment to upholding the law and ensuring that the political process is fair and transparent.
2704,"While previous clemency boards granted restoration of civil rights to thousands of Floridians,  ""so far this year, under this clemency board, four (felons) have gotten their rights back.""",Nikki Fried,mostly-true,7241,"This statement suggests that the current clemency board in Florida is much less lenient than previous boards. While thousands of felons have had their civil rights restored in the past, only four have been granted clemency so far this year. This indicates that the current board is much more restrictive in granting clemency."
7456,"Says Rick Scott ""pled the Fifth 75 times to avoid jail for Medicare fraud.""",Charlie Crist,half-true,5375,"Rick Scott is a former governor of Florida who has been accused of Medicare fraud. He allegedly pled the Fifth Amendment 75 times in order to avoid jail time. The Fifth Amendment protects individuals from self-incrimination, meaning that they cannot be forced to testify against themselves in a criminal case. It is unclear if Scott was ever convicted of the fraud or if he was able to avoid jail time."
3202,"""Cost of iPhone: $399
- Cost of healthcare for 1 year: $10,345
- Hearing @jasoninthehouse compare the 2 as if they are the same: priceless""",Gavin Newsom,mostly-true,6275,"This humorous statement is comparing the cost of an iPhone ($399) to the cost of healthcare for one year ($10,345). It implies that the cost of hearing someone compare the two as if they are the same is priceless."
14564,Says “Biden wants a nationwide lockdown to combat a virus that has a 99%+ survival rate.”,Ron Paul,false,7624,Joe Biden has proposed a nationwide lockdown in order to combat the spread of a virus with a 99%+ survival rate. This measure is intended to reduce the number of people infected and help prevent the virus from spreading further.
10648,"Says President Donald ""Trump’s budget gives a $100 billion tax break to three of the wealthiest families.""",Bernie Sanders,barely-true,6354,"President Donald Trump's proposed budget includes a $100 billion tax break for three of the wealthiest families in the United States. This tax break would provide a significant financial benefit to these families, while potentially reducing the amount of revenue available to fund government programs and services. The proposal has been met with criticism from some who argue that the tax break is unfair and would further widen the gap between the wealthy and the rest of the population."
